,Arists,Date,Entry,Peak,Song,Weeks
10429,JOHNNY RIVERS,7/12/1975,86,22,Help Me Rhonda,10
10435,TEMPTATIONS,7/12/1975,77,37,Glasshouse,10
10552,K.C. & THE SUNSHINE BAND,7/12/1975,94,1,Get Down Tonight,15
10224,ELTON JOHN,7/5/1975,51,4,Someone Saved My Life Tonight,13
10245,BAD COMPANY,7/5/1975,72,10,Feel Like Makin' Love,15
10250,"EARTH, WIND AND FIRE",7/5/1975,77,12,That's The Way Of The World,16
10252,HELEN REDDY,7/5/1975,79,35,Bluebird,6
10253,AL GREEN,7/5/1975,80,48,Oh Me Oh My,6
10255,MOMENTS,7/5/1975,82,39,Look At Me (I'm In Love),8
10257,THREE DOG NIGHT,7/5/1975,84,32,'Til The World Ends,9
10258,JACKSON FIVE,7/5/1975,85,60,Forever Came Today,9
10259,SHARON PAGE & HAROLD MELVIN AND THE BLUE NOTES,7/5/1975,86,42,Hope We Can Be Together Soon,10
10262,JUD STRUNK,7/5/1975,89,50,Biggest Parakeets In Town,6
10263,PAUL DAVIS,7/5/1975,90,90,Keep Our Love Alive,2
10266,NEW BIRTH,7/5/1975,93,36,Dream Merchant,11
10270,FIRST CLASS,7/5/1975,97,92,Funny How Love Can Be,3
10272,REPARATA,7/5/1975,99,99,Shoes,1
10275,TED NEELEY,7/5/1975,102,102,Paradise,2
10276,LOVE CHILDS AFRO CUBAN BLUES BAND,7/5/1975,103,90,Life And Death In G&A;,5
10278,THE REFLECTIONS,7/5/1975,105,94,Three Steps From True Love,5
10279,LEON HAYWOOD,7/5/1975,106,83,Come And Get Yourself Some,4
10280,CRYSTAL GRASS,7/5/1975,107,102,Crystal World,4
10281,EMMYLOU HARRIS,7/5/1975,108,103,If I Could Only Win Your Love,2
10289,ELTON JOHN,7/5/1975,51,4,Someone Saved My Life Tonight,13
10312,BAD COMPANY,7/5/1975,72,10,Feel Like Makin' Love,15
10314,"EARTH, WIND AND FIRE",7/5/1975,77,12,That's The Way Of The World,16
10318,HELEN REDDY,7/5/1975,79,35,Bluebird,6
10323,MOMENTS,7/5/1975,82,39,Look At Me (I'm In Love),8
10325,SHARON PAGE & HAROLD MELVIN AND THE BLUE NOTES,7/5/1975,86,42,Hope We Can Be Together Soon,10
10328,THREE DOG NIGHT,7/5/1975,84,32,'Til The World Ends,9
10331,AL GREEN,7/5/1975,80,48,Oh Me Oh My,6
10335,JUD STRUNK,7/5/1975,89,50,Biggest Parakeets In Town,6
10343,JACKSON FIVE,7/5/1975,85,60,Forever Came Today,9
10350,NEW BIRTH,7/5/1975,93,36,Dream Merchant,11
10373,LOVE CHILDS AFRO CUBAN BLUES BAND,7/5/1975,103,90,Life And Death In G&A;,5
10377,REFLECTIONS,7/5/1975,105,94,Three Steps From True Love,5
10405,BAD COMPANY,7/5/1975,72,10,Feel Like Makin' Love,15
10406,"EARTH, WIND AND FIRE",7/5/1975,77,12,That's The Way Of The World,16
10411,ELTON JOHN,7/5/1975,51,4,Someone Saved My Life Tonight,13
10452,NEW BIRTH,7/5/1975,93,36,Dream Merchant,11
10458,SHARON PAGE & HAROLD MELVIN AND THE BLUE NOTES,7/5/1975,86,42,Hope We Can Be Together Soon,10
10528,BAD COMPANY,7/5/1975,72,10,Feel Like Makin' Love,15
10530,"EARTH, WIND AND FIRE",7/5/1975,77,12,That's The Way Of The World,16
10235,BARRY MANILOW,6/28/1975,81,6,Could It Be Magic,18
10244,HOLLIES,6/28/1975,82,71,Another Night,3
10248,NEIL SEDAKA,6/28/1975,85,27,That's When The Music Takes Me,10
10251,DAVID BOWIE,6/28/1975,90,1,Fame,21
10267,THE IMPRESSIONS,6/28/1975,102,68,Sooner Or Later,9
10268,BO DONALDSON AND THE HAYWOODS,6/28/1975,103,95,Our Last Song Together,3
10273,DEBBIE CAMPBELL,6/28/1975,108,84,Please Tell Him That I Said Hello,6
10274,C.W. McCALL,6/28/1975,109,101,Classified,3
10277,"BOBBY ""BLUE"" BLAND",6/28/1975,104,104,Yolanda,2
10313,BARRY MANILOW,6/28/1975,81,6,Could It Be Magic,18
10320,NEIL SEDAKA,6/28/1975,85,27,That's When The Music Takes Me,10
10322,DAVID BOWIE,6/28/1975,90,1,Fame,21
10357,IMPRESSIONS,6/28/1975,102,68,Sooner Or Later,9
10367,DEBBI CAMPBELL,6/28/1975,108,84,Please Tell Him That I Said Hello,6
10400,DAVID BOWIE,6/28/1975,90,1,Fame,21
10402,BARRY MANILOW,6/28/1975,81,6,Could It Be Magic,18
10504,DAVID BOWIE,6/28/1975,90,1,Fame,21
10519,BARRY MANILOW,6/28/1975,81,6,Could It Be Magic,18
10644,DAVID BOWIE,6/28/1975,90,1,Fame,21
10216,ISLEY BROTHERS,6/21/1975,79,4,Fight The Power,18
10221,TONY ORLANDO & DAWN,6/21/1975,82,14,Mornin' Beautiful,10
10226,JAMES TAYLOR,6/21/1975,86,5,How Sweet It Is,15
10230,FREDDY FENDER,6/21/1975,83,8,Wasted Days And Wasted Nights,19
10232,M.F.S.B.,6/21/1975,81,42,Sexy,7
10236,BOBBY VINTON,6/21/1975,84,58,Wooden Heart,5
10238,JUDY COLLINS,6/21/1975,85,36,Send In The Clowns,11
10247,SOUTH SHORE COMMISSION,6/21/1975,103,61,Free Man,8
10249,HUDSON BROTHERS,6/21/1975,96,26,Rendezvous,12
10254,MORRIS ALBERT,6/21/1975,98,6,Feelings,32
10261,TRAVIS WAMMACK,6/21/1975,100,38,(Shu-Doo-Pa-Poop) Love Being Your Fool,10
10264,GARY TOMS EMPIRE,6/21/1975,97,46,7-6-5-4-3-2-1 (Blow Your Whistle),17
10265,JOHNNY WAKELIN AND THE KINSHASA BAND,6/21/1975,99,21,Black Superman / Muhammad Ali,15
10269,BILLY THUNDERCLOUD & THE CHIEFTONES,6/21/1975,104,92,What Time Of Day,4
10271,CANYON,6/21/1975,108,98,Top Of The World (Make My Reservation),3
10283,JIM CAPALDI,6/21/1975,110,110,It's All Up To You,3
10298,JAMES TAYLOR,6/21/1975,86,5,How Sweet It Is,15
10301,TONY ORLANDO & DAWN,6/21/1975,82,14,Mornin' Beautiful,10
10305,ISLEY BROTHERS,6/21/1975,79,4,Fight The Power,18
10311,FREDDY FENDER,6/21/1975,83,8,Wasted Days And Wasted Nights,19
10319,JUDY COLLINS,6/21/1975,85,36,Send In The Clowns,11
10321,HUDSON BROTHERS,6/21/1975,96,26,Rendezvous,12
10324,TRAVIS WAMMACK,6/21/1975,100,38,(Shu-Doo-Pa-Poop) Love Being Your Fool,10
10332,JOHNNY WAKELIN AND THE KINSHASA BAND,6/21/1975,99,21,Black Superman / Muhammad Ali,15
10339,MORRIS ALBERT,6/21/1975,98,6,Feelings,32
10344,SOUTH SHORE COMMISSION,6/21/1975,103,61,Free Man,8
10354,M.F.S.B.,6/21/1975,81,42,Sexy,7
10356,GARY TOMS EMPIRE,6/21/1975,97,46,7-6-5-4-3-2-1 (Blow Your Whistle),17
10398,JAMES TAYLOR,6/21/1975,86,5,How Sweet It Is,15
10401,ISLEY BROTHERS,6/21/1975,79,4,Fight The Power,18
10404,FREDDY FENDER,6/21/1975,83,8,Wasted Days And Wasted Nights,19
10415,JOHNNY WAKELIN AND THE KINSHASA BAND,6/21/1975,99,21,Black Superman / Muhammad Ali,15
10419,MORRIS ALBERT,6/21/1975,98,6,Feelings,32
10445,GARY TOMS EMPIRE,6/21/1975,97,46,7-6-5-4-3-2-1 (Blow Your Whistle),17
10456,HUDSON BROTHERS,6/21/1975,96,26,Rendezvous,12
10514,FREDDY FENDER,6/21/1975,83,8,Wasted Days And Wasted Nights,19
10515,MORRIS ALBERT,6/21/1975,98,6,Feelings,32
10527,ISLEY BROTHERS,6/21/1975,79,4,Fight The Power,18
10559,GARY TOMS EMPIRE,6/21/1975,97,46,7-6-5-4-3-2-1 (Blow Your Whistle),17
10620,MORRIS ALBERT,6/21/1975,98,6,Feelings,32
10746,MORRIS ALBERT,6/21/1975,98,6,Feelings,32
10897,MORRIS ALBERT,6/21/1975,98,6,Feelings,32
10212,RINGO STARR,6/14/1975,82,31,It's All Down To Goodnight Vienna,7
10214,LYNYRD SKYNYRD,6/14/1975,89,27,Saturday Night Special,9
10223,AEROSMITH,6/14/1975,83,36,Sweet Emotion,8
10225,ROLLING STONES,6/14/1975,84,42,I Don't Know Why,6
10228,JANIS IAN,6/14/1975,87,3,At Seventeen,20
10239,AMAZING RHYTHM ACES,6/14/1975,101,14,Third Rate Romance,17
10240,"BLOOD, SWEAT AND TEARS",6/14/1975,81,62,Got To Get You Into My Life,6
10242,"HAMILTON, JOE FRANK & REYNOLDS",6/14/1975,109,1,Fallin' In love,18
10243,SWEET,6/14/1975,100,5,Ballroom Blitz,25
10256,ELVIN BISHOP,6/14/1975,102,83,Sure Feels Good,4
10306,JANIS IAN,6/14/1975,87,3,At Seventeen,20
10307,"HAMILTON, JOE FRANK & REYNOLDS",6/14/1975,109,1,Fallin' In love,18
10310,LYNYRD SKYNYRD,6/14/1975,89,27,Saturday Night Special,9
10316,SWEET,6/14/1975,100,5,Ballroom Blitz,25
10317,AMAZING RHYTHM ACES,6/14/1975,101,14,Third Rate Romance,17
10346,AEROSMITH,6/14/1975,83,36,Sweet Emotion,8
10395,"HAMILTON, JOE FRANK & REYNOLDS",6/14/1975,109,1,Fallin' In love,18
10397,JANIS IAN,6/14/1975,87,3,At Seventeen,20
10407,SWEET,6/14/1975,100,5,Ballroom Blitz,25
10409,AMAZING RHYTHM ACES,6/14/1975,101,14,Third Rate Romance,17
10510,SWEET,6/14/1975,100,5,Ballroom Blitz,25
10524,JANIS IAN,6/14/1975,87,3,At Seventeen,20
10533,"HAMILTON, JOE FRANK & REYNOLDS",6/14/1975,109,1,Fallin' In love,18
10583,AMAZING RHYTHM ACES,6/14/1975,101,14,Third Rate Romance,17
10646,SWEET,6/14/1975,100,5,Ballroom Blitz,25
10128,OLIVIA NEWTON-JOHN,6/7/1975,65,3,Please Mr. Please,15
10149,DONNY & MARIE OSMOND,6/7/1975,86,44,Make The World Go Away,6
10150,BEN E. KING,6/7/1975,87,60,Do It In The Name Of Love,4
10153,MICHAEL JACKSON,6/7/1975,90,23,Just A Little Bit Of You,12
10162,BRECKER BROTHERS,6/7/1975,99,58,Sneakin' Up Behind You,9
10163,SUGARLOAF,6/7/1975,100,87,Stars In Your Eyes,6
10167,NAZARETH,6/7/1975,104,104,Love Hurts,2
10168,SYL JOHNSON,6/7/1975,105,48,Take Me To The River,8
10170,AMBROSIA,6/7/1975,107,17,Holdin' On To Yesterday,15
10173,TERRY JACKS,6/7/1975,110,106,Christina,5
10183,OLIVIA NEWTON-JOHN,6/7/1975,65,3,Please Mr. Please,15
10217,DONNY & MARIE OSMOND,6/7/1975,86,44,Make The World Go Away,6
10222,MICHAEL JACKSON,6/7/1975,90,23,Just A Little Bit Of You,12
10229,AMBROSIA,6/7/1975,107,17,Holdin' On To Yesterday,15
10231,SYL JOHNSON,6/7/1975,105,48,Take Me To The River,8
10246,BRECKER BROTHERS,6/7/1975,99,58,Sneakin' Up Behind You,9
10260,SUGARLOAF,6/7/1975,100,87,Stars In Your Eyes,6
10282,TERRY JACKS,6/7/1975,110,106,Christina,5
10287,OLIVIA NEWTON-JOHN,6/7/1975,65,3,Please Mr. Please,15
10308,AMBROSIA,6/7/1975,107,17,Holdin' On To Yesterday,15
10309,MICHAEL JACKSON,6/7/1975,90,23,Just A Little Bit Of You,12
10366,BRECKER BROTHERS,6/7/1975,99,58,Sneakin' Up Behind You,9
10410,AMBROSIA,6/7/1975,107,17,Holdin' On To Yesterday,15
10430,OLIVIA NEWTON-JOHN,6/7/1975,65,3,Please Mr. Please,15
10098,PAUL McCARTNEY & WINGS,5/31/1975,65,1,Listen To What The Man Said,14
10116,EAGLES,5/31/1975,78,1,One Of These Nights,17
10129,GLEN CAMPBELL,5/31/1975,81,1,Rhinestone Cowboy,23
10131,CHARLIE RICH,5/31/1975,79,19,Every Time You Touch Me,12
10132,RUFUS & CHAKA KHAN,5/31/1975,82,48,Please Pardon Me,6
10139,HOT CHOCOLATE,5/31/1975,86,28,Disco Queen,11
10140,BEE GEES,5/31/1975,87,1,Jive Talkin',17
10141,MAC DAVIS,5/31/1975,89,53,Burning Thing,8
10152,SAMMY JOHNS,5/31/1975,90,52,Rag Doll,8
10159,WET WILLIE,5/31/1975,98,96,Dixie Rock,2
10161,IKE AND TINA TURNER,5/31/1975,109,88,Baby - Get It On,5
10164,CHARLEY PRIDE,5/31/1975,104,101,I Ain't All Bad,2
10165,SHIRLEY AND COMPANY,5/31/1975,105,91,Cry Cry Cry,4
10171,INNERVISION,5/31/1975,108,106,Honey Baby (Be Mine),3
10172,BAREFOOT JERRY,5/31/1975,110,109,You Can't Get Off With Your Shoes On,2
10176,PAUL McCARTNEY & WINGS,5/31/1975,65,1,Listen To What The Man Said,14
10182,EAGLES,5/31/1975,78,1,One Of These Nights,17
10197,GLEN CAMPBELL,5/31/1975,81,1,Rhinestone Cowboy,23
10200,BEE GEES,5/31/1975,87,1,Jive Talkin',17
10206,CHARLIE RICH,5/31/1975,79,19,Every Time You Touch Me,12
10213,HOT CHOCOLATE,5/31/1975,86,28,Disco Queen,11
10233,MAC DAVIS,5/31/1975,89,53,Burning Thing,8
10234,RUFUS & CHAKA KHAN,5/31/1975,82,48,Please Pardon Me,6
10237,SAMMY JOHNS,5/31/1975,90,52,Rag Doll,8
10284,EAGLES,5/31/1975,78,1,One Of These Nights,17
10286,BEE GEES,5/31/1975,87,1,Jive Talkin',17
10291,PAUL McCARTNEY & WINGS,5/31/1975,65,1,Listen To What The Man Said,14
10297,GLEN CAMPBELL,5/31/1975,81,1,Rhinestone Cowboy,23
10302,CHARLIE RICH,5/31/1975,79,19,Every Time You Touch Me,12
10326,HOT CHOCOLATE,5/31/1975,86,28,Disco Queen,11
10394,GLEN CAMPBELL,5/31/1975,81,1,Rhinestone Cowboy,23
10399,BEE GEES,5/31/1975,87,1,Jive Talkin',17
10403,EAGLES,5/31/1975,78,1,One Of These Nights,17
10506,GLEN CAMPBELL,5/31/1975,81,1,Rhinestone Cowboy,23
10680,GLEN CAMPBELL,5/31/1975,81,1,Rhinestone Cowboy,23
10115,STEELY DAN,5/24/1975,76,37,Black Friday,7
10122,BARRY WHITE,5/24/1975,81,40,I'll Do Anything You Want Me To,7
10134,FOUR TOPS,5/24/1975,89,71,Seven Lonely Nights,4
10136,GENE COTTON,5/24/1975,83,73,Damn It All,3
10137,KIKI DEE,5/24/1975,84,74,How Glad I Am,3
10138,BIMBO JET,5/24/1975,90,43,El Bimbo,10
10145,NARVEL FELTS,5/24/1975,99,67,Reconsider Me,6
10155,MAIN INGREDIENT,5/24/1975,97,92,Rolling Down A Mountainside,3
10156,DANIEL BOONE,5/24/1975,100,93,Run Tell The People,3
10158,NEW BIRTH,5/24/1975,98,95,Grandaddy,3
10160,MANHATTANS,5/24/1975,106,97,Hurt,3
10166,BOB SEGER,5/24/1975,108,103,Beautiful Loser,4
10215,STEELY DAN,5/24/1975,76,37,Black Friday,7
10219,BARRY WHITE,5/24/1975,81,40,I'll Do Anything You Want Me To,7
10220,BIMBO JET,5/24/1975,90,43,El Bimbo,10
10101,BACHMAN-TURNER OVERDRIVE,5/17/1975,85,21,Hey You,12
10107,FRANKIE VALLI,5/17/1975,82,6,Swearin' To God,14
10112,10CC,5/17/1975,84,2,I'm Not In Love,17
10114,GWEN McCRAE,5/17/1975,83,9,Rockin' Chair,14
10120,JUSTIN HAYWARD & JOHN LODGE,5/17/1975,89,47,I Dreamed Last Night,7
10123,MIKE POST,5/17/1975,93,10,The Rockford Files,16
10126,JAMES BROWN,5/17/1975,87,61,Sex Machine,5
10135,KISS,5/17/1975,96,68,Rock & Roll All Nite,6
10143,BILLIE JO SPEARS,5/17/1975,97,78,Blanket On The Ground,5
10144,FIRST CLASS,5/17/1975,102,74,Funny How Love Can Be,5
10169,DON McLEAN,5/17/1975,105,93,Wonderful Baby,7
10184,10CC,5/17/1975,84,2,I'm Not In Love,17
10185,FRANKIE VALLI,5/17/1975,82,6,Swearin' To God,14
10186,GWEN McCRAE,5/17/1975,83,9,Rockin' Chair,14
10194,BACHMAN-TURNER OVERDRIVE,5/17/1975,85,21,Hey You,12
10199,MIKE POST,5/17/1975,93,10,The Rockford Files,16
10285,10CC,5/17/1975,84,2,I'm Not In Love,17
10292,GWEN McCRAE,5/17/1975,83,9,Rockin' Chair,14
10296,MIKE POST,5/17/1975,93,10,The Rockford Files,16
10304,FRANKIE VALLI,5/17/1975,82,6,Swearin' To God,14
10353,BACHMAN-TURNER OVERDRIVE,5/17/1975,85,21,Hey You,12
10444,10CC,5/17/1975,84,2,I'm Not In Love,17
10090,CARLY SIMON,5/10/1975,71,21,Attitude Dancing,8
10103,ELVIS PRESLEY,5/10/1975,87,35,T-R-O-U-B-L-E,9
10111,LABELLE,5/10/1975,73,48,What Can I Do For You,6
10125,COMMODORES,5/10/1975,96,19,Slippery When Wet,15
10127,CHARLIE DANIELS BAND,5/10/1975,88,56,Long Haired Country Boy,8
10205,COMMODORES,5/10/1975,96,19,Slippery When Wet,15
10241,ELVIS PRESLEY,5/10/1975,87,35,T-R-O-U-B-L-E,9
10303,COMMODORES,5/10/1975,96,19,Slippery When Wet,15
10030,DOOBIE BROTHERS,5/3/1975,77,11,Take Me In Your Arms,12
10035,WAR,5/3/1975,82,6,Why Can't We Be Friends,20
10041,SPINNERS,5/3/1975,88,54,Sadie,7
10042,O'JAYS,5/3/1975,89,45,Give The People What They Want,9
10046,BOOMER CASTLEMAN,5/3/1975,93,33,Judy Mae,8
10049,TANYA TUCKER,5/3/1975,96,37,Lizzie And The Rainman,9
10050,GROVER WASHINGTON JR.,5/3/1975,97,54,Mr. Magic,10
10052,GOODIES,5/3/1975,99,79,The Funky Gibbon,4
10058,MELISSA MANCHESTER,5/3/1975,105,6,Midnight Blue,18
10060,FALLEN ANGELS,5/3/1975,107,106,Just Like Romeo And Juliet,2
10061,LAMONT DOZIER,5/3/1975,108,101,All Cried Out,5
10062,SILVER CONVENTION,5/3/1975,109,103,Save Me,3
10082,DOOBIE BROTHERS,5/3/1975,77,11,Take Me In Your Arms,12
10097,BOOMER CASTLEMAN,5/3/1975,93,33,Judy Mae,8
10102,TANYA TUCKER,5/3/1975,96,37,Lizzie And The Rainman,9
10104,WAR,5/3/1975,82,6,Why Can't We Be Friends,20
10108,O'JAYS,5/3/1975,89,45,Give The People What They Want,9
10113,MELISSA MANCHESTER,5/3/1975,105,6,Midnight Blue,18
10117,SPINNERS,5/3/1975,88,54,Sadie,7
10133,GROVER WASHINGTON JR.,5/3/1975,97,54,Mr. Magic,10
10190,MELISSA MANCHESTER,5/3/1975,105,6,Midnight Blue,18
10193,WAR,5/3/1975,82,6,Why Can't We Be Friends,20
10198,DOOBIE BROTHERS,5/3/1975,77,11,Take Me In Your Arms,12
10227,GROVER WASHINGTON JR.,5/3/1975,97,54,Mr. Magic,10
10290,MELISSA MANCHESTER,5/3/1975,105,6,Midnight Blue,18
10295,WAR,5/3/1975,82,6,Why Can't We Be Friends,20
10423,WAR,5/3/1975,82,6,Why Can't We Be Friends,20
9996,CHICAGO,4/26/1975,68,5,Old Days,11
10017,GLADYS KNIGHT AND THE PIPS,4/26/1975,80,11,The Way We Were,17
10023,RAY STEVENS,4/26/1975,81,14,Misty,16
10032,SMOKEY ROBINSON,4/26/1975,89,26,Baby That's Backatcha,11
10034,ORLEANS,4/26/1975,83,55,Let There Be Music,7
10037,TODD RUNDGREN,4/26/1975,90,83,Real Man,3
10039,RON BANKS AND THE DRAMATICS,4/26/1975,104,47,Me And Mrs. Jones,10
10047,MARSHALL TUCKER BAND,4/26/1975,95,78,This Ol' Cowboy,4
10048,HENRY GROSS,4/26/1975,97,93,One More Tomorrow,3
10051,ALBERT HAMMOND,4/26/1975,100,91,99 Miles From L.A.,6
10053,NORTHERN LIGHT,4/26/1975,110,88,Minnesota,7
10059,CRYSTAL GRASS,4/26/1975,106,104,Crystal World,4
10063,NEKTAR,4/26/1975,109,91,Astral Man,7
10068,CHICAGO,4/26/1975,68,5,Old Days,11
10092,GLADYS KNIGHT AND THE PIPS,4/26/1975,80,11,The Way We Were,17
10094,RAY STEVENS,4/26/1975,81,14,Misty,16
10096,SMOKEY ROBINSON,4/26/1975,89,26,Baby That's Backatcha,11
10110,RON BANKS & THE DRAMATICS,4/26/1975,104,47,Me & Mrs. Jones,10
10147,ORLEANS,4/26/1975,83,55,Let There Be Music,7
10151,NORTHERN LIGHT,4/26/1975,110,88,Minnesota,7
10154,NEKTAR,4/26/1975,109,91,Astral Man,7
10188,GLADYS KNIGHT AND THE PIPS,4/26/1975,80,11,The Way We Were,17
10189,RAY STEVENS,4/26/1975,81,14,Misty,16
10204,SMOKEY ROBINSON,4/26/1975,89,26,Baby That's Backatcha,11
10218,CHICAGO,4/26/1975,68,5,Old Days,11
10294,GLADYS KNIGHT AND THE PIPS,4/26/1975,80,11,The Way We Were,17
10333,RAY STEVENS,4/26/1975,81,14,Misty,16
10007,LED ZEPPELIN,4/19/1975,77,25,Trampled Underfoot,10
10011,DISCO TEX & THE SEX-O-LETTES,4/19/1975,86,23,I Wanna Dance With Choo,11
10016,CONSUMER RAPPORT,4/19/1975,84,42,Ease On Down The Road,9
10020,BAD COMPANY,4/19/1975,89,36,Good Lovin' Gone Bad,8
10033,VAN McCOY,4/19/1975,95,1,The Hustle,19
10036,FRANK SINATRA,4/19/1975,90,75,Anytime,6
10038,STYLISTICS,4/19/1975,96,70,Thank You Baby,6
10043,DWIGHT TWILLEY BAND,4/19/1975,110,16,I'm On Fire,19
10044,ODIA COATES,4/19/1975,97,91,Don't Leave Me In The Morning,3
10054,SHIRLEY CAESAR,4/19/1975,103,91,No Charge,9
10055,THE TROGGS,4/19/1975,102,102,Good Vibrations,5
10056,T.G. SHEPARD,4/19/1975,106,95,Trying To Beat The Morning Home,6
10087,DISCO TEX & THE SEX-O-LETTES,4/19/1975,86,23,I Wanna Dance With Choo,11
10088,TAVARES,4/19/1975,77,25,Remember What I Told You To Forget / My Ship,10
10095,VAN McCOY,4/19/1975,95,1,The Hustle,19
10099,BAD COMPANY,4/19/1975,89,36,Good Lovin' Gone Bad,8
10109,DWIGHT TWILLEY BAND,4/19/1975,110,16,I'm On Fire,19
10121,CONSUMER RAPPORT,4/19/1975,84,42,Ease On Down The Road,9
10157,SHIRLEY CAESAR,4/19/1975,103,91,No Charge,9
10175,VAN McCOY,4/19/1975,95,1,The Hustle,19
10196,DWIGHT TWILLEY BAND,4/19/1975,110,16,I'm On Fire,19
10288,VAN McCOY,4/19/1975,95,1,The Hustle,19
10299,DWIGHT TWILLEY BAND,4/19/1975,110,16,I'm On Fire,19
9985,AVERAGE WHITE BAND,4/12/1975,76,10,Cut The Cake,15
9986,LINDA RONSTADT,4/12/1975,81,2,When Will I Be Loved / It Doesn't Matter Anymore,19
10000,OHIO PLAYERS,4/12/1975,77,44,I Want To Be Free,7
10006,SUPERTRAMP,4/12/1975,85,35,Bloody Well Right,10
10012,TAVARES,4/12/1975,91,36,Remember What I Told You To Forget / My Ship,8
10024,BEACH BOYS,4/12/1975,87,49,Sail On Sailor,10
10025,CAPTAIN AND TENNILLE,4/12/1975,108,1,Love Will Keep Us Together,24
10031,TONY CAMILLO'S BAZUKA,4/12/1975,100,10,Dynomite,20
10040,SHA NA NA,4/12/1975,110,55,Just Like Romeo And Juliet,11
10069,LINDA RONSTADT,4/12/1975,81,2,When Will I Be Loved / It Doesn't Matter Anymore,19
10074,AVERAGE WHITE BAND,4/12/1975,76,10,Cut The Cake,15
10075,CAPTAIN AND TENNILLE,4/12/1975,108,1,Love Will Keep Us Together,24
10100,TONY CAMILLO'S BAZUKA,4/12/1975,100,10,Dynomite,20
10118,SHA NA NA,4/12/1975,110,55,Just Like Romeo And Juliet,11
10124,SUPERTRAMP,4/12/1975,85,35,Bloody Well Right,10
10142,BEACH BOYS,4/12/1975,87,49,Sail On Sailor,10
10174,CAPTAIN AND TENNILLE,4/12/1975,108,1,Love Will Keep Us Together,24
10181,LINDA RONSTADT,4/12/1975,81,2,When Will I Be Loved / It Doesn't Matter Anymore,19
10192,TONY CAMILLO'S BAZUKA,4/12/1975,100,10,Dynomite,20
10195,AVERAGE WHITE BAND,4/12/1975,76,10,Cut The Cake,15
10293,TONY CAMILLO'S BAZUKA,4/12/1975,100,10,Dynomite,20
10300,CAPTAIN AND TENNILLE,4/12/1975,108,1,Love Will Keep Us Together,24
10345,LINDA RONSTADT,4/12/1975,81,2,When Will I Be Loved / It Doesn't Matter Anymore,19
10425,CAPTAIN AND TENNILLE,4/12/1975,108,1,Love Will Keep Us Together,24
9912,GRAND FUNK,4/5/1975,69,4,Bad Time,15
9914,AMERICA,4/5/1975,71,1,Sister Golden Hair,16
9923,MAC DAVIS,4/5/1975,80,54,All The Love In The World,4
9924,SEALS AND CROFTS,4/5/1975,81,18,I'll Play For You,15
9926,ALICE COOPER,4/5/1975,83,12,Only Women Bleed,16
9927,PILOT,4/5/1975,84,5,Magic,20
9929,LOGGINS & MESSINA,4/5/1975,86,52,Growin',7
9931,JESSI COLTER,4/5/1975,88,4,I'm Not Lisa,17
9935,KOOL AND THE GANG,4/5/1975,92,35,Spirit Of The Boogie,17
9939,BETTY WRIGHT,4/5/1975,96,96,Where Is The Love,1
9940,ROGER WHITTAKER,4/5/1975,97,19,The Last Farewell,15
9942,RICK DERRINGER,4/5/1975,99,94,Hang On Sloopy,4
9945,JIMMY BUFFETT,4/5/1975,102,101,A Pirate Looks At Forty,8
9946,CARL GRAVES,4/5/1975,103,103,The Next Best Thing,1
9947,LEA ROBERTS,4/5/1975,104,92,All Right Now,4
9949,SILVER CONVENTION,4/5/1975,106,103,Save Me,3
9950,THE DYNAMIC SUPERIORS,4/5/1975,107,104,Leave It Alone,3
9953,NEW YORK CITY,4/5/1975,110,110,Got To Get You Back In My Life,1
9977,GRAND FUNK,4/5/1975,69,4,Bad Time,15
9981,AMERICA,4/5/1975,71,1,Sister Golden Hair,16
9987,JESSI COLTER,4/5/1975,88,4,I'm Not Lisa,17
9989,ALICE COOPER,4/5/1975,83,12,Only Women Bleed,16
9997,ROGER WHITTAKER,4/5/1975,97,19,The Last Farewell,15
9998,SEALS AND CROFTS,4/5/1975,81,18,I'll Play For You,15
9999,PILOT,4/5/1975,84,5,Magic,20
10008,LOGGINS & MESSINA,4/5/1975,86,52,Growin',7
10015,KOOL AND THE GANG,4/5/1975,92,35,Spirit Of The Boogie,17
10057,JIMMY BUFFETT,4/5/1975,102,101,A Pirate Looks At Forty,8
10065,AMERICA,4/5/1975,71,1,Sister Golden Hair,16
10067,GRAND FUNK,4/5/1975,69,4,Bad Time,15
10071,JESSI COLTER,4/5/1975,88,4,I'm Not Lisa,17
10078,ALICE COOPER,4/5/1975,83,12,Only Women Bleed,16
10083,PILOT,4/5/1975,84,5,Magic,20
10084,ROGER WHITTAKER,4/5/1975,97,19,The Last Farewell,15
10086,SEALS AND CROFTS,4/5/1975,81,18,I'll Play For You,15
10130,KOOL AND THE GANG,4/5/1975,92,35,Spirit Of The Boogie,17
10179,PILOT,4/5/1975,84,5,Magic,20
10180,JESSI COLTER,4/5/1975,88,4,I'm Not Lisa,17
10187,ALICE COOPER,4/5/1975,83,12,Only Women Bleed,16
10201,AMERICA,4/5/1975,71,1,Sister Golden Hair,16
10202,SEALS AND CROFTS,4/5/1975,81,18,I'll Play For You,15
10208,GRAND FUNK,4/5/1975,69,4,Bad Time,15
10209,ROGER WHITTAKER,4/5/1975,97,19,The Last Farewell,15
10211,KOOL AND THE GANG,4/5/1975,92,35,Spirit Of The Boogie,17
10329,PILOT,4/5/1975,84,5,Magic,20
